Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Welding Video Analysis Tracker (Focused on errors),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,video_id,Frame_number,error type,notes (optional),,,,video id,manually counted droplet,system counted droplet
,AIS26T1,8245-8330,segmentation remaining after the droplet merges into the weld pool,red segmentation of droplet despite in weld pool,,,,AIS26T1,20,20
,AIS30T02R01,160-180,bad segmentation (on spatter),shouldnt focus on spatter,,,,AIS30T02R01,96,84
,AIS30T02R01,500-510,Incorrect ID assigned,repeats #5,,,,AIS30T05,147,147
,AIS30T02R01,1300-1400,Incorrect ID assigned on droplet,repeats #13 multiple times,,,,AIS29T7,119,63
,AIS30T02R01,1970-1990,ID switch,between number 19 and 20,,,,AIS31T02,173,179
,AIS30T02R01,2570-2580,Incorrect ID assigned on droplet/false droplet,both 26 and 27 id on one droplet,,,,AIS26T5,35,34
,AIS30T02R01,3640-3660,Incorrect ID assigned,repeats #38,,,,AIS27T5,56,57
,AIS30T02R01,4375-4385,false droplet id assigned,Id number 48 is assigned to a spatter,,,,AIS31T04,179,185
,AIS30T02R01,4610-4630,ID switch,on the same droplet when touches weld pool,,,,AIS29T4,147,134
,AIS30T02R01,6380-6390,ID switch/change,droplet changes from 69 to 70 before touches weld pool,,, ,AIS31T01,165,157
,AIS30T02R01,7230-7245,ID change (after contact weld pool) and id switch with previous,when touches weld pool id changes and the droplet behind also changes,,,,AIS27T1,68,72
,AIS30T02R01,Most frames,ID number assigned is wrong and system count is behind manual count,system count: 84 Manual Count: 96,,,,AIS26T4R1,32,40
,AIS30T05,10100-10350,Incorrect ID assigned and repeat of #123,"While #121 drops, it labels small drop near weld pool as #122 and then next big droplet as #123 when it should have been 122 and then repeats 123", ,,,AIS28T1R2,121,116
,AIS30T05,12450-12470,Incorrect ID assigned on last droplet ,Shows 147 and 148 on the droplet at same time,,,,AIS30T03R01,177,179
,AIS29T7,385-395,Bad segmentation of Droplet (+1),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #3,,,,AIS29T5,146,146
,AIS29T7,1310-1340,Bad segmentation of Droplet (+2),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #11,,,,AIS28T5,119,123
,AIS29T7,3060-3077,Bad segmentation of Droplet (+3),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #25,,,,AIS27T6,70,71
,AIS29T7,3860-3870,Bad segmentation of Droplet (+4),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #30,,,,AIS30T01R03,184,183
,AIS29T7,3970-3990,Bad segmentation of Droplet (+5),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #30,,,,AIS28T3,125,129
,AIS29T7,4010-4020,Bad segmentation of Droplet (+6),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #30,,,,AIS27T2R1,62,63
,AIS29T7,4580-4650,Bad segmentation of Droplet (+7),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #34,,,,AIS29T3,145,156
,AIS29T7,5200-5230,Bad segmentation of Droplet (+8),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #37,,,,AIS28T2,101,116
,AIS29T7,5690-5700,Bad segmentation of Droplet (+9),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #40,,,,AIS28T4,110,121
,AIS29T7,6000-6030,Bad segmentation of Droplet (+10),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #41,,,,AIS29T1,138,151
,AIS29T7,6100-6150,Bad segmentation of Droplet (+11),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #41,,,,AIS29T2,132,140
,AIS29T7,6440-6690,Bad segmentation of Droplet (+14) (3 in a row),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #42 (3 in a row),,,,,,
,AIS29T7,6940-9750,Bad segmentation of Droplet (+36) (22 in a row),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #43 (22 in a row),,,,,,
,AIS29T7,9850-10870,Bad segmentation of Droplet (+42) (6 in a row),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #44 (6 in a row),,,,,,
,AIS29T7,11100-11200,Bad segmentation of Droplet (+43),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #46,,,,,,
,AIS29T7,11000-11050,Bad segmentation of Droplet (+44),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #45,,,,,,
,AIS29T7,11350-11750,Bad segmentation of Droplet (+47),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #47,,,,,,
,AIS29T7,11900-12000,Bad segmentation of Droplet (+48),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #48,,,,,,
,AIS29T7,12200-12400,Bad segmentation of Droplet (+49),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #49,,,,,,
,AIS29T7,12450-12600,Bad Segmentation of droplet after contact weldpool,segmentation remaining after the droplet merges into the weld pool #50,,,,,,
,AIS29T7,12650-12800,Bad segmentation of Droplet (+51),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #50,,,,,,
,AIS29T7,13200-13500,Bad segmentation of Droplet (+52),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #54,,,,,,
,AIS29T7,13900-14200,Bad segmentation of Droplet (+55),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #57,,,,,,
,AIS29T7,14700-14800,Bad segmentation of Droplet (+56),We can see droplet forms and falls but it never segments it properly and doesnt assign an ID to it after #62,,,,,,
,AIS31T02,440-460,false droplet id assigned (-1),#8 was assigned to spatter whcih was false droplet,,,,,,
,AIS31T02,2440-2460,ID change (while dropping on same droplet) (-2),While dropping #35 changes to #36,,,,,,
,AIS31T02,2780-2800,Incorrect ID assigned (-1),#40 repeated twice,,,,,,
,AIS31T02,4040-4055,ID change (while dropping on same droplet) (-2),#60 to #61 on same droplet while falling,,,,,,
,AIS31T02,5550-5560,Incorrect ID assigned (-3),assigned #83 when should be #82,,,,,,
,AIS31T02,6700-6730,false droplet id assigned (-4),#103 assigned to false droplet,,,,,,
,AIS31T02,7200-7220,false droplet id assigned (-5),#113 assigned to false droplet,,,,,,
,AIS31T02,7780-7790,false droplet id assigned (-6),#123 assigned to false droplet,,,,,,
,AIS26T5,6350-6800,Bad Segmentation of droplet after contact weldpool,segmentation remaining after the droplet merges into the weld pool #12,,,,,,
,AIS26T5,12720-12800,Bad Segmentation of droplet after contact weldpool,segmentation remaining after the droplet merges into the weld pool #27,,,,,,
,AIS26T5,13000-13100,Incorrect ID assigned (+1),#28 repeated twice,,,,,,
,AIS27T5,4700-4900,Incorrect ID assigned and Bad segmenation after weldpool contact (-1),#19 becomes #20 and bad segmentation after contact with weldpool,,,,,,
,AIS27T5,9000-9100,Bad Segmentation of droplet after contact weldpool,#35 with bad segmentation after weldpool contact ,,,,,,
,AIS27T5,11500-11600,Bad Segmentation of droplet after contact weldpool,#44 with bad segmentation after weldpool contact ,,,,,,
,AIS27T5,11800-12000,Bad Segmentation of droplet after contact weldpool,#45 with bad segmentation after weldpool contact ,,,,,,
,AIS27T5,13750-13850,Bad Segmentation of droplet after contact weldpool,#52 with bad segmentation after weldpool contact ,,,,,,
,AIS31T04,1-50,ID change (while dropping on same droplet) (-1),#1 to #2 on same droplet while falling,,,,,,
,AIS31T04,2100-2200,false droplet id assigned (-2),#35 false droplet,,,,,,
,AIS31T04,2650-2750,false droplet id assigned (-3),#44 false droplet,,,,,,
,AIS31T04,5450-5460,false droplet id assigned (-4),#85 false droplet it was a spatter not a droplet,,,,,,
,AIS31T04,6500-6650,false droplet id assigned (-5),#102 false droplet,,,,,,
,AIS31T04,9960-10000,incorrect ID assigned (-6),#156 should be #155,,,,,,
,AIS29T4,2440-2455,Incorrect ID assigned (+1),#24 repeated twice,,,,,,
,AIS29T4,4000-4100,Incorrect ID assigned (+2),#39 repeated twice,,,,,,
,AIS29T4,4600-4750,Incorrect ID assigned (+3),#45 repeated twice,,,,,,
,AIS29T4,5700-5800,Incorrect ID assigned (+4),#54 repeated twice,,,,,,
,AIS29T4,7800-7900,Incorrect ID assigned (+5),#73 repeated twice,,,,,,
